Exchange ,Scrip Code ,User ,Client ,Client Name ,Instrument Type ,Instrument Name ,Symbol ,Ser/Exp ,Strike Price ,Option Type ,Scrip Name ,Buy Qty ,Buy Lot ,Buy Weight ,Buy Val ,Buy Avg. ,Sell Qty ,Sell Lot ,Sell Weight ,Sell Val ,Sell Avg. ,Net Qty ,Net Lot ,Net Weight ,Net Val  ,Net Price ,Market Price ,MTMV Pos  ,MTM G/L  ,Product Type ,Group ,DPR Range ,Maturity Date ,Yield ,Total Value ,Total Quantity ,Total Lot ,Total Weight ,Brokerage ,Net MTM ,Net Value Post Expenses ,Option Flag ,VAR % ,VAR Amount ,SM Category ,Category ,Expense ,ExcerciseExpense ,CF Avg Price ,Actual MTM P&L ,Unsettled Quantity
NSE ,85116 ,ALL ,S1693 ,SAVITA SANJAY PACHERIWALA ,Options ,OPTSTK ,AXISBANK ,29AUG2024 ,1200.00 ,PE ,AXISBANK24AUG1200PE , , , , , ,625 ,1 , ,7437.50 ,11.90 ,-625 ,-1 , ,7437.50 ,11.90 ,12.35 ,-7718.75 ,-281.25 ,CarryForward ,HO ,0.05 - 30.45 , , ,7437.50 ,625 ,1 , ,0.00 ,-281.25 ,7437.50 ,OTM , , , ,NORMAL , , , , ,
NSE ,86083 ,ALL ,A936 ,ANISHA ESTATE AND FINANCE PRIVATE LTD ,Options ,OPTSTK ,BAJFINANCE ,29AUG2024 ,7000.00 ,PE ,BAJFINANCE24AUG7000PE , , , , , ,125 ,1 , ,33875.00 ,271.00 ,-125 ,-1 , ,33875.00 ,271.00 ,296.45 ,-37056.25 ,-3181.25 ,CarryForward ,HO ,58.40 - 472.60 , , ,33875.00 ,125 ,1 , ,0.00 ,-3181.25 ,33875.00 ,ITM , , , ,NORMAL , , , , ,
NSE ,76042 ,ALL ,S1717 ,SUMIT JALAN HUF ,Options ,OPTSTK ,BEL ,25JUL2024 ,300.00 ,PE ,BEL24JUL300PE ,2850 ,1 , ,9547.50 ,3.35 , , , , , ,2850 ,1 , ,-9547.50 ,3.35 ,5.20 ,14820.00 ,5272.50 ,CarryForward ,HO ,0.05 - 24.00 , , ,9547.50 ,2850 ,1 , ,0.00 ,5272.50 ,-9547.50 ,NA , , , ,NORMAL , , , , ,
NSE ,76041 ,ALL ,A854 ,ANKUSH DHYAWALA ,Options ,OPTSTK ,BEL ,25JUL2024 ,300.00 ,CE ,BEL24JUL300CE ,2850 ,1 , ,49305.00 ,17.30 , , , , , ,2850 ,1 , ,-49305.00 ,17.30 ,11.75 ,33487.50 ,-15817.50 ,CarryForward ,HO ,0.05 - 38.35 , , ,49305.00 ,2850 ,1 , ,0.00 ,-15817.50 ,-49305.00 ,NA , , , ,NORMAL , , , , ,
NSE ,87908 ,ALL ,A854 ,ANKUSH DHYAWALA ,Options ,OPTSTK ,BEL ,29AUG2024 ,320.00 ,CE ,BEL24AUG320CE , , , , , ,2850 ,1 , ,52155.00 ,18.30 ,-2850 ,-1 , ,52155.00 ,18.30 ,16.60 ,-47310.00 ,4845.00 ,CarryForward ,HO ,0.05 - 38.50 , , ,52155.00 ,2850 ,1 , ,0.00 ,4845.00 ,52155.00 ,NA , , , ,NORMAL , , , , ,
NSE ,68656 ,ALL ,S1716 ,SHEETAL JALAN ,Options ,OPTSTK ,BEL ,25JUL2024 ,370.00 ,CE ,BEL24JUL370CE , , , , , ,2850 ,1 , ,2137.50 ,0.75 ,-2850 ,-1 , ,2137.50 ,0.75 ,0.60 ,-1710.00 ,427.50 ,CarryForward ,HO ,0.05 - 20.90 , , ,2137.50 ,2850 ,1 , ,0.00 ,427.50 ,2137.50 ,NA , , , ,NORMAL , , , , ,
NSE ,77375 ,ALL ,M586 ,MURARI SECURITIES LTD ,Options ,OPTSTK ,BHARTIARTL ,25JUL2024 ,1340.00 ,CE ,BHARTIARTL24JUL1340CE ,475 ,1 , ,56050.00 ,118.00 , , , , , ,475 ,1 , ,-56050.00 ,118.00 ,125.90 ,59802.50 ,3752.50 ,CarryForward ,HO ,44.80 - 207.80 , , ,56050.00 ,475 ,1 , ,0.00 ,3752.50 ,-56050.00 ,ITM , , , ,NORMAL , , , , ,
NSE ,89077 ,ALL ,M586 ,MURARI SECURITIES LTD ,Options ,OPTSTK ,BHARTIARTL ,29AUG2024 ,1400.00 ,CE ,BHARTIARTL24AUG1400CE , , , , , ,950 ,2 , ,80037.50 ,84.25 ,-950 ,-2 , ,80037.50 ,84.25 ,88.50 ,-84075.00 ,-4037.50 ,CarryForward ,HO ,24.00 - 149.25 , , ,80037.50 ,950 ,2 , ,0.00 ,-4037.50 ,80037.50 ,ITM , , , ,NORMAL , , , , ,
NSE ,89078 ,ALL ,M586 ,MURARI SECURITIES LTD ,Options ,OPTSTK ,BHARTIARTL ,29AUG2024 ,1400.00 ,PE ,BHARTIARTL24AUG1400PE , , , , , ,2375 ,5 , ,49685.00 ,20.92 ,-2375 ,-5 , ,49685.00 ,20.92 ,20.65 ,-49043.75 ,641.25 ,CarryForward ,HO ,0.05 - 44.95 , , ,49685.00 ,2375 ,5 , ,0.00 ,641.25 ,49685.00 ,OTM , , , ,NORMAL , , , , ,
NSE ,77381 ,ALL ,M586 ,MURARI SECURITIES LTD ,Options ,OPTSTK ,BHARTIARTL ,25JUL2024 ,1400.00 ,CE ,BHARTIARTL24JUL1400CE ,475 ,1 , ,31706.25 ,66.75 , , , , , ,475 ,1 , ,-31706.25 ,66.75 ,68.00 ,32300.00 ,593.75 ,CarryForward ,HO ,0.05 - 143.75 , , ,31706.25 ,475 ,1 , ,0.00 ,593.75 ,-31706.25 ,ITM , , , ,NORMAL , , , , ,
NSE ,77382 ,ALL ,M586 ,MURARI SECURITIES LTD ,Options ,OPTSTK ,BHARTIARTL ,25JUL2024 ,1400.00 ,PE ,BHARTIARTL24JUL1400PE ,950 ,2 , ,2113.75 ,2.23 , , , , , ,950 ,2 , ,-2113.75 ,2.23 ,2.45 ,2327.50 ,213.75 ,CarryForward ,HO ,0.05 - 22.00 , , ,2113.75 ,950 ,2 , ,0.00 ,213.75 ,-2113.75 ,OTM , , , ,NORMAL , , , , ,
NSE ,78431 ,ALL ,M590 ,MANJU DHYAWALA ,Options ,OPTSTK ,BPCL ,25JUL2024 ,290.00 ,PE ,BPCL24JUL290PE , , , , , ,1800 ,1 , ,6030.00 ,3.35 ,-1800 ,-1 , ,6030.00 ,3.35 ,3.30 ,-5940.00 ,90.00 ,CarryForward ,HO ,0.05 - 21.00 , , ,6030.00 ,1800 ,1 , ,0.00 ,90.00 ,6030.00 ,OTM , , , ,NORMAL , , , , ,
NSE ,93125 ,ALL ,N390 ,NIRMAL KUMAR AGARWAL ,Options ,OPTSTK ,COALINDIA ,29AUG2024 ,450.00 ,PE ,COALINDIA24AUG450PE , , , , , ,2100 ,1 , ,14175.00 ,6.75 ,-2100 ,-1 , ,14175.00 ,6.75 ,8.10 ,-17010.00 ,-2835.00 ,CarryForward ,HO ,0.05 - 24.80 , , ,14175.00 ,2100 ,1 , ,0.00 ,-2835.00 ,14175.00 ,OTM , , , ,NORMAL , , , , ,
NSE ,93125 ,ALL ,M590 ,MANJU DHYAWALA ,Options ,OPTSTK ,COALINDIA ,29AUG2024 ,450.00 ,PE ,COALINDIA24AUG450PE , , , , , ,2100 ,1 , ,12390.00 ,5.90 ,-2100 ,-1 , ,12390.00 ,5.90 ,8.10 ,-17010.00 ,-4620.00 ,CarryForward ,HO ,0.05 - 24.80 , , ,12390.00 ,2100 ,1 , ,0.00 ,-4620.00 ,12390.00 ,OTM , , , ,NORMAL , , , , ,
NSE ,97572 ,ALL ,M586 ,MURARI SECURITIES LTD ,Options ,OPTSTK ,DABUR ,29AUG2024 ,600.00 ,PE ,DABUR24AUG600PE , , , , , ,1250 ,1 , ,9687.50 ,7.75 ,-1250 ,-1 , ,9687.50 ,7.75 ,7.70 ,-9625.00 ,62.50 ,CarryForward ,HO ,0.05 - 26.65 , , ,9687.50 ,1250 ,1 , ,0.00 ,62.50 ,9687.50 ,OTM , , , ,NORMAL , , , , ,
NSE ,97571 ,ALL ,A854 ,ANKUSH DHYAWALA ,Options ,OPTSTK ,DABUR ,29AUG2024 ,600.00 ,CE ,DABUR24AUG600CE , , , , , ,1250 ,1 , ,64062.50 ,51.25 ,-1250 ,-1 , ,64062.50 ,51.25 ,46.80 ,-58500.00 ,5562.50 ,CarryForward ,HO ,33.45 - 76.05 , , ,64062.50 ,1250 ,1 , ,0.00 ,5562.50 ,64062.50 ,ITM , , , ,NORMAL , , , , ,
NSE ,97572 ,ALL ,A854 ,ANKUSH DHYAWALA ,Options ,OPTSTK ,DABUR ,29AUG2024 ,600.00 ,PE ,DABUR24AUG600PE , , , , , ,1250 ,1 , ,9375.00 ,7.50 ,-1250 ,-1 , ,9375.00 ,7.50 ,7.70 ,-9625.00 ,-250.00 ,CarryForward ,HO ,0.05 - 26.65 , , ,9375.00 ,1250 ,1 , ,0.00 ,-250.00 ,9375.00 ,OTM , , , ,NORMAL , , , , ,
NSE ,92770 ,ALL ,A854 ,ANKUSH DHYAWALA ,Options ,OPTSTK ,DABUR ,25JUL2024 ,600.00 ,CE ,DABUR24JUL600CE ,1250 ,1 , ,52687.50 ,42.15 , , , , , ,1250 ,1 , ,-52687.50 ,42.15 ,35.60 ,44500.00 ,-8187.50 ,CarryForward ,HO ,20.30 - 70.30 , , ,52687.50 ,1250 ,1 , ,0.00 ,-8187.50 ,-52687.50 ,ITM , , , ,NORMAL , , , , ,
NSE ,101071 ,ALL ,M589 ,MURLI DHAR DHYAWALA ,Options ,OPTSTK ,GAIL ,25JUL2024 ,205.00 ,PE ,GAIL24JUL205PE ,4575 ,1 , ,1830.00 ,0.40 , , , , , ,4575 ,1 , ,-1830.00 ,0.40 ,0.55 ,2516.25 ,686.25 ,CarryForward ,HO ,0.05 - 20.35 , , ,1830.00 ,4575 ,1 , ,0.00 ,686.25 ,-1830.00 ,OTM , , , ,NORMAL , , , , ,
NSE ,101124 ,ALL ,M634 ,MOHAN LAL AGARWAL HUF ,Options ,OPTSTK ,GAIL ,25JUL2024 ,220.00 ,PE ,GAIL24JUL220PE , , , , , ,4575 ,1 , ,21960.00 ,4.80 ,-4575 ,-1 , ,21960.00 ,4.80 ,4.85 ,-22188.75 ,-228.75 ,CarryForward ,HO ,0.05 - 21.80 , , ,21960.00 ,4575 ,1 , ,0.00 ,-228.75 ,21960.00 ,ITM , , , ,NORMAL , , , , ,
NSE ,101126 ,ALL ,A854 ,ANKUSH DHYAWALA ,Options ,OPTSTK ,GAIL ,25JUL2024 ,225.00 ,PE ,GAIL24JUL225PE , , , , , ,4575 ,1 , ,26763.75 ,5.85 ,-4575 ,-1 , ,26763.75 ,5.85 ,8.45 ,-38658.75 ,-11895.00 ,CarryForward ,HO ,0.05 - 23.40 , , ,26763.75 ,4575 ,1 , ,0.00 ,-11895.00 ,26763.75 ,ITM , , , ,NORMAL , , , , ,
NSE ,101137 ,ALL ,A854 ,ANKUSH DHYAWALA ,Options ,OPTSTK ,GAIL ,25JUL2024 ,240.00 ,CE ,GAIL24JUL240CE , , , , , ,4575 ,1 , ,8235.00 ,1.80 ,-4575 ,-1 , ,8235.00 ,1.80 ,1.00 ,-4575.00 ,3660.00 ,CarryForward ,HO ,0.05 - 22.55 , , ,8235.00 ,4575 ,1 , ,0.00 ,3660.00 ,8235.00 ,OTM , , , ,NORMAL , , , , ,
NSE ,105291 ,ALL ,S1687 ,SANJAYKUMAR NIRMALKUMAR PACHERIWALA ,Options ,OPTSTK ,GODREJPROP ,25JUL2024 ,2900.00 ,CE ,GODREJPROP24JUL2900CE ,225 ,1 , ,85500.00 ,380.00 , , , , , ,225 ,1 , ,-85500.00 ,380.00 ,380.00 ,85500.00 ,0.00 ,CarryForward ,HO ,223.15 - 711.35 , , ,85500.00 ,225 ,1 , ,0.00 ,0.00 ,-85500.00 ,ITM , , , ,NORMAL , , , , ,
NSE ,104218 ,ALL ,M634 ,MOHAN LAL AGARWAL HUF ,Options ,OPTSTK ,GRASIM ,25JUL2024 ,2400.00 ,CE ,GRASIM24JUL2400CE ,250 ,1 , ,90000.00 ,360.00 , , , , , ,250 ,1 , ,-90000.00 ,360.00 ,360.00 ,90000.00 ,0.00 ,CarryForward ,HO ,275.55 - 514.65 , , ,90000.00 ,250 ,1 , ,0.00 ,0.00 ,-90000.00 ,ITM , , , ,NORMAL , , , , ,
NSE ,104258 ,ALL ,A936 ,ANISHA ESTATE AND FINANCE PRIVATE LTD ,Options ,OPTSTK ,GRASIM ,25JUL2024 ,2600.00 ,PE ,GRASIM24JUL2600PE ,500 ,2 , ,3387.50 ,6.78 , , , , , ,500 ,2 , ,-3387.50 ,6.78 ,6.95 ,3475.00 ,87.50 ,CarryForward ,HO ,0.05 - 26.45 , , ,3387.50 ,500 ,2 , ,0.00 ,87.50 ,-3387.50 ,OTM , , , ,NORMAL , , , , ,
NSE ,105200 ,ALL ,M586 ,MURARI SECURITIES LTD ,Options ,OPTSTK ,HAVELLS ,25JUL2024 ,2000.00 ,CE ,HAVELLS24JUL2000CE ,500 ,1 , ,1375.00 ,2.75 , , , , , ,500 ,1 , ,-1375.00 ,2.75 ,1.80 ,900.00 ,-475.00 ,CarryForward ,HO ,0.05 - 29.30 , , ,1375.00 ,500 ,1 , ,0.00 ,-475.00 ,-1375.00 ,OTM , , , ,NORMAL , , , , ,
NSE ,1375 ,ALL ,S1687 ,SANJAYKUMAR NIRMALKUMAR PACHERIWALA ,Equities , ,HCC ,EQ , ,NORMAL ,HINDUSTAN CONSTRUCTION CO ,2500 , , ,117125.00 ,46.85 , , , , , ,2500 , , ,-117125.00 ,46.85 ,46.04 ,115100.00 ,-2025.00 ,Margin ,HO ,38.69 - 58.04 , , ,117125.00 ,2500 , , ,0.00 ,-2025.00 ,-117125.00 ,NA ,30.40 ,35606.00 ,No ,NORMAL , , , , ,
NSE ,120604 ,ALL ,M586 ,MURARI SECURITIES LTD ,Options ,OPTSTK ,HCLTECH ,29AUG2024 ,1500.00 ,PE ,HCLTECH24AUG1500PE , , , , , ,350 ,1 , ,5932.50 ,16.95 ,-350 ,-1 , ,5932.50 ,16.95 ,17.85 ,-6247.50 ,-315.00 ,CarryForward ,HO ,0.05 - 39.85 , , ,5932.50 ,350 ,1 , ,0.00 ,-315.00 ,5932.50 ,OTM , , , ,NORMAL , , , , ,
NSE ,108088 ,ALL ,A854 ,ANKUSH DHYAWALA ,Options ,OPTSTK ,HCLTECH ,25JUL2024 ,1500.00 ,CE ,HCLTECH24JUL1500CE ,350 ,1 , ,29050.00 ,83.00 , , , , , ,350 ,1 , ,-29050.00 ,83.00 ,81.65 ,28577.50 ,-472.50 ,CarryForward ,HO ,20.10 - 149.40 , , ,29050.00 ,350 ,1 , ,0.00 ,-472.50 ,-29050.00 ,ITM , , , ,NORMAL , , , , ,
NSE ,108089 ,ALL ,A854 ,ANKUSH DHYAWALA ,Options ,OPTSTK ,HCLTECH ,25JUL2024 ,1500.00 ,PE ,HCLTECH24JUL1500PE ,700 ,2 , ,1190.00 ,1.70 , , , , , ,700 ,2 , ,-1190.00 ,1.70 ,1.55 ,1085.00 ,-105.00 ,CarryForward ,HO ,0.05 - 23.20 , , ,1190.00 ,700 ,2 , ,0.00 ,-105.00 ,-1190.00 ,OTM , , , ,NORMAL , , , , ,
NSE ,106736 ,ALL ,A936 ,ANISHA ESTATE AND FINANCE PRIVATE LTD ,Options ,OPTSTK ,HDFCLIFE ,25JUL2024 ,630.00 ,CE ,HDFCLIFE24JUL630CE ,1100 ,1 , ,13640.00 ,12.40 , , , , , ,1100 ,1 , ,-13640.00 ,12.40 ,11.45 ,12595.00 ,-1045.00 ,CarryForward ,HO ,0.05 - 45.35 , , ,13640.00 ,1100 ,1 , ,0.00 ,-1045.00 ,-13640.00 ,ITM , , , ,NORMAL , , , , ,
NSE ,44396 ,ALL ,S1687 ,SANJAYKUMAR NIRMALKUMAR PACHERIWALA ,Options ,OPTSTK ,HINDPETRO ,25JUL2024 ,330.00 ,PE ,HINDPETRO24JUL330PE ,2025 ,1 , ,2733.75 ,1.35 , , , , , ,2025 ,1 , ,-2733.75 ,1.35 ,3.25 ,6581.25 ,3847.50 ,CarryForward ,HO ,0.05 - 21.30 , , ,2733.75 ,2025 ,1 , ,0.00 ,3847.50 ,-2733.75 ,OTM , , , ,NORMAL , , , , ,
NSE ,44482 ,ALL ,M586 ,MURARI SECURITIES LTD ,Options ,OPTSTK ,HINDPETRO ,29AUG2024 ,350.00 ,PE ,HINDPETRO24AUG350PE , , , , , ,2025 ,1 , ,41917.50 ,20.70 ,-2025 ,-1 , ,41917.50 ,20.70 ,23.40 ,-47385.00 ,-5467.50 ,CarryForward ,HO ,0.05 - 36.40 , , ,41917.50 ,2025 ,1 , ,0.00 ,-5467.50 ,41917.50 ,ITM , , , ,NORMAL , , , , ,
NSE ,111102 ,ALL ,M586 ,MURARI SECURITIES LTD ,Options ,OPTSTK ,HINDUNILVR ,25JUL2024 ,2500.00 ,PE ,HINDUNILVR24JUL2500PE ,300 ,1 , ,420.00 ,1.40 , , , , , ,300 ,1 , ,-420.00 ,1.40 ,1.20 ,360.00 ,-60.00 ,CarryForward ,HO ,0.05 - 21.65 , , ,420.00 ,300 ,1 , ,0.00 ,-60.00 ,-420.00 ,NA , , , ,NORMAL , , , , ,
NSE ,109830 ,ALL ,M586 ,MURARI SECURITIES LTD ,Options ,OPTSTK ,ICICIBANK ,25JUL2024 ,1200.00 ,CE ,ICICIBANK24JUL1200CE ,700 ,1 , ,33425.00 ,47.75 , , , , , ,700 ,1 , ,-33425.00 ,47.75 ,52.40 ,36680.00 ,3255.00 ,CarryForward ,HO ,10.30 - 99.00 , , ,33425.00 ,700 ,1 , ,0.00 ,3255.00 ,-33425.00 ,ITM , , , ,NORMAL , , , , ,
NSE ,111778 ,ALL ,M586 ,MURARI SECURITIES LTD ,Options ,OPTSTK ,ICICIBANK ,29AUG2024 ,1200.00 ,PE ,ICICIBANK24AUG1200PE , , , , , ,700 ,1 , ,15050.00 ,21.50 ,-700 ,-1 , ,15050.00 ,21.50 ,20.80 ,-14560.00 ,490.00 ,CarryForward ,HO ,0.05 - 39.35 , , ,15050.00 ,700 ,1 , ,0.00 ,490.00 ,15050.00 ,OTM , , , ,NORMAL , , , , ,
NSE ,123456 ,ALL ,M586 ,MURARI SECURITIES LTD ,Options ,OPTSTK ,ICICIBANK ,29AUG2024 ,1250.00 ,CE ,ICICIBANK24AUG1250CE , , , , , ,700 ,1 , ,24535.00 ,35.05 ,-700 ,-1 , ,24535.00 ,35.05 ,38.65 ,-27055.00 ,-2520.00 ,CarryForward ,HO ,10.20 - 65.80 , , ,24535.00 ,700 ,1 , ,0.00 ,-2520.00 ,24535.00 ,OTM , , , ,NORMAL , , , , ,
NSE ,124829 ,ALL ,M586 ,MURARI SECURITIES LTD ,Options ,OPTSTK ,IDEA ,29AUG2024 ,15.00 ,PE ,IDEA24AUG15PE , , , , , ,40000 ,1 , ,24000.00 ,0.60 ,-40000 ,-1 , ,24000.00 ,0.60 ,0.60 ,-24000.00 ,0.00 ,CarryForward ,HO ,0.05 - 20.60 , , ,24000.00 ,40000 ,1 , ,0.00 ,0.00 ,24000.00 ,OTM , , , ,NORMAL , , , , ,
NSE ,112987 ,ALL ,A936 ,ANISHA ESTATE AND FINANCE PRIVATE LTD ,Options ,OPTSTK ,IDFCFIRSTB ,25JUL2024 ,90.00 ,CE ,IDFCFIRSTB24JUL90CE ,7500 ,1 , ,750.00 ,0.10 , , , , , ,7500 ,1 , ,-750.00 ,0.10 ,0.10 ,750.00 ,0.00 ,CarryForward ,HO ,0.05 - 20.15 , , ,750.00 ,7500 ,1 , ,0.00 ,0.00 ,-750.00 ,OTM , , , ,NORMAL , , , , ,
NSE ,114304 ,ALL ,A936 ,ANISHA ESTATE AND FINANCE PRIVATE LTD ,Options ,OPTSTK ,IGL ,25JUL2024 ,500.00 ,PE ,IGL24JUL500PE ,1375 ,1 , ,3575.00 ,2.60 , , , , , ,1375 ,1 , ,-3575.00 ,2.60 ,2.95 ,4056.25 ,481.25 ,CarryForward ,HO ,0.05 - 22.95 , , ,3575.00 ,1375 ,1 , ,0.00 ,481.25 ,-3575.00 ,NA , , , ,NORMAL , , , , ,
NSE ,114138 ,ALL ,M586 ,MURARI SECURITIES LTD ,Options ,OPTSTK ,INDIGO ,29AUG2024 ,4000.00 ,PE ,INDIGO24AUG4000PE , , , , , ,600 ,2 , ,32970.00 ,54.95 ,-600 ,-2 , ,32970.00 ,54.95 ,63.00 ,-37800.00 ,-4830.00 ,CarryForward ,HO ,0.05 - 172.55 , , ,32970.00 ,600 ,2 , ,0.00 ,-4830.00 ,32970.00 ,OTM , , , ,NORMAL , , , , ,
NSE ,114852 ,ALL ,M586 ,MURARI SECURITIES LTD ,Options ,OPTSTK ,INFY ,25JUL2024 ,1580.00 ,PE ,INFY24JUL1580PE ,400 ,1 , ,240.00 ,0.60 , , , , , ,400 ,1 , ,-240.00 ,0.60 ,0.45 ,180.00 ,-60.00 ,CarryForward ,HO ,0.05 - 24.45 , , ,240.00 ,400 ,1 , ,0.00 ,-60.00 ,-240.00 ,OTM , , , ,NORMAL , , , , ,
NSE ,114852 ,ALL ,A936 ,ANISHA ESTATE AND FINANCE PRIVATE LTD ,Options ,OPTSTK ,INFY ,25JUL2024 ,1580.00 ,PE ,INFY24JUL1580PE ,400 ,1 , ,160.00 ,0.40 , , , , , ,400 ,1 , ,-160.00 ,0.40 ,0.45 ,180.00 ,20.00 ,CarryForward ,HO ,0.05 - 24.45 , , ,160.00 ,400 ,1 , ,0.00 ,20.00 ,-160.00 ,OTM , , , ,NORMAL , , , , ,
